DistNtoS,elevation,vegetation,geometry,NDVIgrowing,NDVIsenescent
0,1510.439,Artemisia,"c(718649.456, 4397466.714)",0.32550180435180665,0.14018284082412721
16.7,1510.271,mixed graminoid,"c(718649.4309, 4397450.077)",0.6270567440986633,0.2586939400434494
28.6,1510.039,mixed graminoid,"c(718649.413, 4397438.222)",0.6858371925354004,0.3285068273544311
30.5,1509.995,mixed graminoid,"c(718649.4101, 4397436.33)",0.6675353360176085,0.28165496468544005
31.1,1510.087,mixed graminoid,"c(718649.4092, 4397435.732)",0.6551532435417176,0.2657993561029434
33.4,1510.172,mixed graminoid,"c(718649.4058, 4397433.441)",0.6169059062004087,0.27440722405910495
35.6,1509.98,mixed graminoid,"c(718649.4025, 4397431.249)",0.6233222174644472,0.27530544757843023
37,1510.258,mixed graminoid,"c(718649.4004, 4397429.854)",0.5889796090126037,0.24178804337978366
74,1510.283,mixed graminoid,"c(718649.3448, 4397392.994)",0.6405024337768556,0.32459302186965944
101,1510.319,mixed graminoid,"c(718649.3042, 4397366.097)",0.5580210506916045,0.312451068162918
125.6,1510.625,Artemisia,"c(718649.2672, 4397341.59)",0.39086053609848026,0.1629423087835312
137,1510.354,mixed graminoid,"c(718649.25, 4397330.233)",0.5831705331802368,0.2717183214426041
149.2,1510.12,Carex,"c(718649.2317, 4397318.079)",0.7360984563827516,0.3924827253818512
154.3,1510.185,Carex,"c(718649.224, 4397312.999)",0.7435510993003847,0.4236291325092316
175,1510.668,mixed graminoid,"c(718649.1929, 4397292.377)",0.4554397761821746,0.20398499190807343
194.7,1510.535,mixed graminoid,"c(718649.1633, 4397272.752)",0.5123808240890503,0.23725722491741183
197.1,1510.335,mixed graminoid,"c(718649.1597, 4397270.361)",0.48941590070724483,0.19663607835769648
200.59,1510.569,mixed graminoid,"c(718649.1544, 4397266.884)",0.5334557044506072,0.27495350182056427
215.3,1510.855,pine,"c(718649.1323, 4397252.23)",0.6117678666114809,0.5573747414350508
255.4,1510.86,pine,"c(718649.072, 4397212.282)",0.3366669714450836,0.19438448727130891
259.2,1510.599,mixed graminoid,"c(718649.0663, 4397208.496)",0.5051950907707213,0.19271648824214935
275.52,1510.755,pine,"c(718649.0418, 4397192.238)",0.5028002798557282,0.41533798456192017
281.6,1510.615,pine,"c(718649.0327, 4397186.181)",0.752760157585144,0.6433615958690643
287.65,1510.975,pine,"c(718649.0236, 4397180.154)",0.34271453261375423,0.5452390682697296
293.2,1510.873,pine,"c(718649.0152, 4397174.625)",0.6767602181434633,0.5406980514526368
294.9,1510.575,pine,"c(718649.0127, 4397172.932)",0.7683256340026857,0.6173443007469178
296.2,1510.886,pine,"c(718649.0107, 4397171.637)",0.766985716819763,0.641441719532013
297.6,1511.147,pine,"c(718649.0086, 4397170.242)",0.6623499608039856,0.6458751225471497
298.8,1511.28,pine,"c(718649.005, 4397167.851)",0.7539260387420655,0.7578449606895447
