STATION,STATION_NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-STDDEV,COUNTY,geometry
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,01,-4.3,-15.8,NA,NA,NA,NA,NA,NA,NA,208.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,-16.3,305,20,91,2,0,0,0,0,12.3,-15.8,0,1,17,20,299,310,310,310,-1.2,-16.1,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,02,-5.1,-15.8,NA,NA,NA,NA,NA,NA,NA,176.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,-16.4,273,20,65,5,0,0,0,0,12.4,-16,0,0,3,16,262,280,280,280,-0.3,-16.2,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,03,-3.9,-16.1,NA,NA,NA,NA,NA,NA,NA,155.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,-16.1,307,26,147,36,1,0,0,0,15.2,-15.6,0,0,0,12,258,310,310,310,1.3,-16.3,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,04,-3.1,-15.9,NA,NA,NA,NA,NA,NA,NA,81.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,-16.1,300,28,183,76,12,0,0,0,17.6,-15.5,0,0,0,6,191,293,300,300,2.9,-16.3,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,05,-1.3,-16.1,NA,NA,NA,NA,NA,NA,NA,48.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,-16.1,310,31,284,206,75,1,0,0,22.9,-15.3,0,0,0,1,89,263,310,310,6.5,-16.6,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,06,0.7,-15.9,NA,NA,NA,NA,NA,NA,NA,11.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,-16.7,300,30,300,288,186,4,0,0,27.9,-15.9,0,0,0,0,16,157,295,300,9.5,-16.8,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,07,1.7,-16.3,NA,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,-16.2,310,31,310,310,297,15,2,0,32.2,-15.9,0,0,0,0,1,52,260,309,12.8,-16.2,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,08,1.5,-16,NA,NA,NA,NA,NA,NA,NA,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,-17.1,310,31,310,308,294,13,1,0,31.6,-16.4,0,0,0,0,0,54,276,310,12.3,-16.9,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,09,1.5,-16.3,NA,NA,NA,NA,NA,NA,NA,15.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,-16,300,30,298,277,206,6,0,0,28.4,-15.6,0,0,0,0,29,164,295,300,9.1,-16.1,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,10,1.3,-15.7,NA,NA,NA,NA,NA,NA,NA,60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,-16.2,310,31,281,204,94,1,0,0,23.3,-15.8,0,0,0,4,165,296,310,310,4.2,-15.9,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,11,-3.9,-15.7,NA,NA,NA,NA,NA,NA,NA,104.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-16.4,297,26,125,30,1,0,0,0,14.9,-15.6,0,0,0,10,265,297,300,300,1.1,-16.7,Tuolumne,"c(-120.2258, 37.8444)"
USC00043669,"GROVELAND 2, CA US",37.8444,-120.2258,853.4,12,-5.1,-15.3,NA,NA,NA,NA,NA,NA,NA,161.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,-16.4,300,20,45,2,0,0,0,0,11.3,-15.9,0,2,15,20,294,310,310,310,-1.4,-15.9,Tuolumne,"c(-120.2258, 37.8444)"
USC00041497,"CANYON DAM, CA US",40.1705,-121.0886,1389.9,01,-8.7,-15.9,58.42,141.73,232.66,12,9,5,2,152.91,355.6,642.6,1041.4,7,6,4,2,1,746.8,26,24,23,15,0.2,-16.4,164,2,0,0,0,0,0,2,4.8,-16.4,0,8,81,28,309,310,310,310,-4.3,-15.8,Plumas,"c(-121.0886, 40.1705)"
USC00041497,"CANYON DAM, CA US",40.1705,-121.0886,1389.9,02,-7.3,-15.3,74.42,133.1,247.14,11,9,4,2,164.08,152.4,342.9,810.3,6,6,3,2,1,533.4,25,24,23,18,1.4,-16.4,188,7,3,0,0,0,0,1,6.7,-15.8,0,8,48,24,280,280,280,280,-3.7,-16.1,Plumas,"c(-121.0886, 40.1705)"
