geometry,SAMPLE_DATE,SITE_ID,SITE_NAME,SITE_TYPE,Total Coliform,Enterococcus,E. Coli
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-10-18T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,776,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-10-12T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,185,,3873
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-10-04T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,259,,6488
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-09-27T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,269,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-09-20T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,10,,161
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-09-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,97,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-09-07T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,75,,1354
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-08-30T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,63,,4611
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-08-23T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,256,,8664
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-08-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,85,,11199
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-08-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,158,,9804
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-08-02T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,63,,12997
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-07-26T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,41,,6867
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-07-19T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,218,,1071
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-07-12T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,41,,4352
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-07-06T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,218,,3076
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-06-28T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,30,,5475
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-06-21T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,10462
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-06-14T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,169,,3873
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-06-07T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,10,,336
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-06-01T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,20,,15531
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-05-24T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,10,,6867
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-05-17T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,218,,1607
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-05-10T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,379,,8664
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-05-03T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,259,,10462
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-04-12T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,72,,2755
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-04-05T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,20,,7270
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-03-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,10,,19863
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-03-15T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,86,,4106
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-03-01T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,10,,3654
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-02-22T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,10,,3076
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-02-08T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,20,,5172
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-02-01T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,41,,2247
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-01-25T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1664,,11199
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-01-19T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,20,,5794
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-01-11T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,295,,14136
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2021-01-04T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,134,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-12-14T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,41,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-12-07T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,175,,9208
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-30T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,31,,12997
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-23T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,98,,10462
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-16T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,185,,8664
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-09T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,657,,2014
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-11-02T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,350,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-10-26T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,7270
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-10-19T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,195,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-10-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,74,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-10-05T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,98,,10462
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-09-28T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,108,,15531
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-09-21T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,309,,12033
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-09-14T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,120,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-09-08T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-08-31T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,259,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-08-17T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,1259,,8664
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-08-10T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,86,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-08-03T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,97,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-07-27T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,74,,17329
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-07-20T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,10,,24196
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-07-13T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,15531
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-07-06T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,52,,19863
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-06-29T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,98,,14136
"X: -13637257.3819714, Y: 4522533.44636066, Z: NaN",2020-06-22T00:00:00.0000000,AB4117,SAN PEDRO CREEK,CREEK,231,,2400
