FID,STATION,STATION_NA,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY_PRCP_2,Completene,MLY_SNOW_2,Complete_1,MLY_PRCP_5,Complete_2,MLY_SNOW_5,Complete_3,MLY_PRCP_7,Complete_4,MLY_SNOW_7,Complete_5,MLY_PRCP_N,Complete_6,MLY_SNOW_N,Complete_7,MLY_SNOW_A,Complete_8,MLY_SNOW_1,Complete_9,MLY_SNOW_3,Complet_10,MLY_SNOW_4,Complet_11,MLY_SNOW_6,Complet_12,MLY_PRCP_A,Complet_13,MLY_PRCP_1,Complet_14,MLY_PRCP_3,Complet_15,MLY_PRCP_4,Complet_16,MLY_SNWD_A,Complet_17,MLY_SNWD_1,Complet_18,MLY_SNWD_2,Complet_19,MLY_SNWD_3,Complet_20,MLY_TMAX_A,Complet_21,MLY_TMAX_1,Complet_22,MLY_TMAX_2,Complet_23,MLY_TMAX_3,Complet_24,MLY_TMAX_4,Complet_25,MLY_TMAX_5,Complet_26,MLY_TMAX_6,Complet_27,MLY_TMAX_7,Complet_28,MLY_TMIN_A,Complet_29,MLY_TMIN_1,Complet_30,MLY_TMIN_2,Complet_31,MLY_TMIN_3,Complet_32,MLY_TMIN_4,Complet_33,MLY_TMIN_5,Complet_34,MLY_TMIN_6,Complet_35,MLY_TMIN_7,Complet_36,MLY_TAVG_N,Complet_37,MLY_DUTR_N,Complet_38,MLY_TMAX_N,Complet_39,MLY_TMIN_N,Complet_40,MLY_TAVG_S,Complet_41,MLY_DUTR_S,Complet_42,MLY_TMAX_S,Complet_43,MLY_TMIN_S,Complet_44
0,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201001,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,208.03,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,30,R,19.6,R,9.1,R,0.2,R,0,R,0,R,0,R,0,R,0,R,2,R,20.4,R,29.9,R,31,R,31,R,31,R,5.6,R,-4.3,R,12.3,R,-1.2,R,-16.3,R,-15.8,R,-15.8,R,-16.1,R
1,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201002,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,176.02,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,27,R,19.7,R,6.5,R,0.5,R,0,R,0,R,0,R,0,R,0,R,0,R,15.9,R,26.2,R,28,R,28,R,28,R,6.1,R,-5.1,R,12.4,R,-0.3,R,-16.4,R,-15.8,R,-16,R,-16.2,R
2,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201003,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,155.96,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,31,R,25.6,R,14.7,R,3.6,R,0.1,R,0,R,0,R,0,R,0,R,0,R,12.2,R,25.8,R,31,R,31,R,31,R,8.2,R,-3.9,R,15.2,R,1.3,R,-16.1,R,-16.1,R,-15.6,R,-16.3,R
3,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201004,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,81.28,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,30,R,28,R,18.3,R,7.6,R,1.2,R,0,R,0,R,0,R,0,R,0,R,5.7,R,19.1,R,29.3,R,30,R,30,R,10.3,R,-3.1,R,17.6,R,2.9,R,-16.1,R,-15.9,R,-15.5,R,-16.3,R
4,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201005,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,48.26,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,31,R,30.8,R,28.4,R,20.6,R,7.5,R,1,R,0,R,0,R,0,R,0,R,0.7,R,8.9,R,26.3,R,31,R,31,R,14.7,R,-1.3,R,22.9,R,6.5,R,-16.1,R,-16.1,R,-15.3,R,-16.6,R
5,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201006,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,11.68,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,30,R,30,R,30,R,28.8,R,18.6,R,4,R,0,R,0,R,0,R,0,R,0,R,1.6,R,15.7,R,29.5,R,30,R,18.7,R,0.7,R,27.9,R,9.5,R,-16.7,R,-15.9,R,-15.9,R,-16.8,R
6,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201007,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,2.54,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,2,R,31,R,31,R,31,R,31,R,29.7,R,15,R,0,R,0,R,0,R,0,R,0,R,0.1,R,5.2,R,26,R,31,R,22.5,R,1.7,R,32.2,R,12.8,R,-16.2,R,-16.3,R,-15.9,R,-16.2,R
7,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201008,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,2.54,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,1,R,31,R,31,R,31,R,30.8,R,29.4,R,13,R,0,R,0,R,0,R,0,R,0,R,0,R,5.4,R,27.6,R,31,R,21.9,R,1.5,R,31.6,R,12.3,R,-17.1,R,-16,R,-16.4,R,-16.9,R
8,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201009,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,15.24,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,30,R,30,R,29.8,R,27.7,R,20.6,R,6,R,0,R,0,R,0,R,0,R,0,R,2.9,R,16.4,R,29.5,R,30,R,18.7,R,1.5,R,28.4,R,9.1,R,-16,R,-16.3,R,-15.6,R,-16.1,R
9,GHCND:USC00043669,GROVELAND 2 CA US,853,37.8444,-120.2258,201010,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,60.96,Q,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,-9999, ,0,R,31,R,30.7,R,28.1,R,20.4,R,9.4,R,1,R,0,R,0,R,0,R,0,R,3.5,R,16.5,R,29.6,R,31,R,31,R,13.7,R,1.3,R,23.3,R,4.2,R,-16.2,R,-15.7,R,-15.8,R,-15.9,R
