site,longitude,latitude
T1,-86.04194144,35.06596295
T2,-86.04228889,35.06486428
T3,-86.04253228,35.06352676
T4,-86.04134997,35.06233771
T5,-86.0407566,35.0615126
T6,-86.04003533,35.06059962
F1,-86.02837249,35.04889576
W2,-86.01856506,35.05568202
W1,-86.01982568,35.05856949
P2,-86.01797336,35.06174106
W5,-86.01416569,35.05383716
W6,-86.01581609,35.05044697
T7,-86.0176595,35.05002313
W7,-86.01545994,35.05034814
T8,-86.01373594,35.05041618
W8,-86.02094707,35.04131459
K1,-86.00202304,35.04824914
K2,-85.99817925,35.05249625
K3,-86.00598119,35.05065137
K4,-86.00732013,35.05720511
B2,-85.99990376,35.05511924
T9,-86.00024908,35.05570091
K5,-86.00428244,35.05596908
K6,-86.00034108,35.0550584
F2,-86.02729798,35.04876741
C1,-86.02613279,35.05287574
V1,-86.03983822,35.06120272
F4,-86.02794848,35.05081486
D1,-86.01369419,35.04984497
D2,-86.01006991,35.04891244
D3,-86.00739887,35.05071159
D4,-86.00700342,35.05165428
D5,-86.0067784,35.05284356
D5,-86.00681603,35.05411424
D6,-86.00671127,35.0548464
D7,-86.00519017,35.05550831
D8,-86.00318506,35.05610188
S4,-86.00683137,35.05225242
