ID,NAME,md_HHinc_Est2016
6001400100,60014001,177417
6001400200,60014002,153125
6001400300,60014003,85313
6001400400,60014004,99539
6001400500,60014005,83650
6001400600,60014006,61597
6001400700,60014007,46424
6001400800,60014008,61111
6001400900,60014009,55691
6001401000,60014010,51073
6001401100,60014011,71205
6001401200,60014012,83208
6001401300,60014013,37123
6001401400,60014014,25985
6001401500,60014015,48903
6001401600,60014016,36544
6001401700,60014017,66308
6001401800,60014018,28185
6001402200,60014022,45400
6001402400,60014024,33724
6001402500,60014025,23693
6001402600,60014026,22955
6001402700,60014027,44792
6001402800,60014028,17363
6001402900,60014029,28854
6001403000,60014030,19490
6001403100,60014031,51184
6001403300,60014033,52246
6001403400,60014034,51172
6001403501,60014035.01,37032
6001403502,60014035.02,67672
6001403600,60014036,70600
6001403701,60014037.01,66086
6001403702,60014037.02,78266
6001403800,60014038,85313
6001403900,60014039,73125
6001404000,60014040,77065
6001404101,60014041.01,86635
6001404102,60014041.02,77303
6001404200,60014042,169519
6001404300,60014043,193523
6001404400,60014044,150074
6001404501,60014045.01,181484
6001404502,60014045.02,133068
6001404600,60014046,163322
6001404700,60014047,159107
6001404800,60014048,61875
6001404900,60014049,84375
6001405000,60014050,122237
6001405100,60014051,182153
6001405200,60014052,75417
6001405301,60014053.01,60928
6001405302,60014053.02,35638
6001405401,60014054.01,39712
6001405402,60014054.02,33555
6001405500,60014055,50225
6001405600,60014056,53063
6001405700,60014057,48851
6001405800,60014058,44375
6001405901,60014059.01,31607
6001405902,60014059.02,32833
6001406000,60014060,30909
6001406100,60014061,44485
6001406201,60014062.01,37336
6001406202,60014062.02,33583
6001406300,60014063,43307
6001406400,60014064,59500
6001406500,60014065,41346
6001406601,60014066.01,48467
6001406602,60014066.02,53162
6001406700,60014067,73167
6001406800,60014068,94167
6001406900,60014069,65556
6001407000,60014070,43125
6001407101,60014071.01,51691
6001407102,60014071.02,47660
6001407200,60014072,37319
6001407300,60014073,53214
6001407400,60014074,47656
6001407500,60014075,24869
6001407600,60014076,53300
6001407700,60014077,70938
6001407800,60014078,80368
6001407900,60014079,100927
6001408000,60014080,158917
6001408100,60014081,103670
6001408200,60014082,51135
6001408300,60014083,81695
6001408400,60014084,30213
6001408500,60014085,47841
6001408600,60014086,30696
6001408700,60014087,43649
6001408800,60014088,23598
6001408900,60014089,26379
6001409000,60014090,44125
6001409100,60014091,40000
6001409200,60014092,46250
6001409300,60014093,34830
6001409400,60014094,39189
6001409500,60014095,31682
6001409600,60014096,37349
6001409700,60014097,38357
6001409800,60014098,63598
6001409900,60014099,97689
6001410000,60014100,107083
6001410100,60014101,59239
6001410200,60014102,49200
6001410300,60014103,39524
6001410400,60014104,66555
6001410500,60014105,22596
6001420100,60014201,120208
6001420200,60014202,89194
6001420300,60014203,86417
6001420400,60014204,42054
6001420500,60014205,89333
6001420600,60014206,116172
6001421100,60014211,162308
6001421200,60014212,144115
6001421300,60014213,138971
6001421400,60014214,141375
6001421500,60014215,160265
6001421600,60014216,118750
6001421700,60014217,69986
6001421800,60014218,110000
6001421900,60014219,100372
6001422000,60014220,60500
6001422100,60014221,72500
6001422200,60014222,66769
6001422300,60014223,58606
6001422400,60014224,57083
6001422500,60014225,54375
6001422600,60014226,250001
6001422700,60014227,31050
6001422800,60014228,13188
6001422900,60014229,24056
6001423000,60014230,67304
6001423100,60014231,60037
6001423200,60014232,49375
6001423300,60014233,77039
6001423400,60014234,76458
6001423500,60014235,39780
6001423601,60014236.01,83824
6001423602,60014236.02,27890
6001423700,60014237,83347
6001423800,60014238,137171
6001423901,60014239.01,70417
6001423902,60014239.02,82000
6001424001,60014240.01,58411
6001424002,60014240.02,58643
6001425101,60014251.01,64019
6001425102,60014251.02,92296
6001425103,60014251.03,90556
6001425104,60014251.04,56750
6001426100,60014261,212386
6001426200,60014262,168713
6001427100,60014271,116581
6001427200,60014272,67404
6001427300,60014273,78654
6001427600,60014276,50099
6001427700,60014277,80000
6001427800,60014278,98348
6001427900,60014279,81117
6001428000,60014280,68356
6001428100,60014281,84725
6001428200,60014282,84205
6001428301,60014283.01,111205
6001428302,60014283.02,130059
6001428400,60014284,73125
6001428500,60014285,67045
6001428600,60014286,79892
6001428700,60014287,52688
6001430101,60014301.01,124014
6001430102,60014301.02,117583
6001430200,60014302,114737
6001430300,60014303,110465
6001430400,60014304,118250
6001430500,60014305,58618
6001430600,60014306,95976
6001430700,60014307,98373
6001430800,60014308,68190
6001430900,60014309,57676
6001431000,60014310,63720
6001431100,60014311,56250
6001431200,60014312,64075
6001432100,60014321,95676
6001432200,60014322,62307
6001432300,60014323,75907
6001432400,60014324,59934
6001432501,60014325.01,61339
6001432502,60014325.02,61743
6001432600,60014326,56700
6001432700,60014327,97750
6001432800,60014328,92917
6001433000,60014330,66280
6001433102,60014331.02,71535
6001433103,60014331.03,46429
6001433104,60014331.04,44913
6001433200,60014332,51058
6001433300,60014333,67034
6001433400,60014334,78710
6001433500,60014335,79327
6001433600,60014336,60813
6001433700,60014337,68571
6001433800,60014338,51867
6001433900,60014339,41022
6001434000,60014340,41458
6001435102,60014351.02,116319
6001435103,60014351.03,156875
6001435104,60014351.04,52817
6001435200,60014352,97957
6001435300,60014353,68365
6001435400,60014354,51597
6001435500,60014355,51026
6001435601,60014356.01,53608
6001435602,60014356.02,56928
6001435700,60014357,77762
6001435800,60014358,76635
6001435900,60014359,91578
6001436000,60014360,84861
6001436100,60014361,77117
6001436200,60014362,45987
6001436300,60014363,58564
6001436401,60014364.01,71844
6001436402,60014364.02,122127
6001436500,60014365,54315
6001436601,60014366.01,63991
6001436602,60014366.02,41099
6001436700,60014367,79152
6001436800,60014368,63305
6001436900,60014369,58567
6001437000,60014370,70988
6001437101,60014371.01,105723
6001437102,60014371.02,68542
6001437200,60014372,83799
6001437300,60014373,70903
6001437400,60014374,75521
6001437500,60014375,54943
6001437600,60014376,67308
6001437701,60014377.01,50688
6001437702,60014377.02,50759
6001437800,60014378,77276
