TRI_FACILITY_ID,count,FACILITY_NAME,COUNTY,air_releases,fugitive_air,stack_air,LATITUDE,LONGITUDE
91002FRMND585BR,2,FORUM IND,SAN MATEO,1423,1423,0,37.51523,-122.26686
92052ZPMNF2970C,1,ZEP MFG CO,SANTA CLARA,337,337,0,37.37575,-121.98786
93117TLDYN3165P,2,TELEDYNE MEC,SANTA CLARA,12600,12600,0,37.40796,-122.15023
94002GTWSG477HA,2,MORGAN ADVANCED CERAMICS BELMONT WESGO METALS,SAN MATEO,18700,18700,0,37.51956,-122.26906
94002SMPRD120SE,2,SEM PRODS INC,SAN MATEO,1500,500,1000,37.52472,-122.26675
94025HBLNN151CO,2,HEUBLEIN INC,SAN MATEO,500,0,500,37.47928,-122.1722
94025RYCHM300CO,10,TE CONNECTIVITY CORP,SAN MATEO,144871,47562,97309,37.48187,-122.16699
94025SNFRD990OB,1,SANFORD METAL PROCESSING CO,SAN MATEO,9675,9675,0,37.47498,-122.1518
94026BYPCK3575H,2,BAY PACKAGING & CONVERTING CO INC,SAN MATEO,80000,32000,48000,37.48629,-122.18697
94026CDRSY3475E,2,CDR SYS CORP,SAN MATEO,126800,0,126800,37.47655,-122.19747
94039LTTNP1101M,1,LITTON APPLIED TECH,SANTA CLARA,8664,8664,0,37.39459,-122.045444
94039NTNLS313FA,8,NATIONAL SEMICONDUCTOR CORP,SANTA CLARA,26836,21831,5005,37.40486,-122.05546
94042JSCCH1710V,5,JASCO CHEMICAL CORP,SANTA CLARA,28196,16663,11533,37.3988,-122.0882
94043BLLND2637M,1,BELL INDUSTRIES INC PRECISION METALCRAFT DIV,SANTA CLARA,15138,15138,0,37.42872,-122.09808
94043GTGVR100FE,2,GTE GOVERNMENT SYSTEMS CORP ELECTRONIC DEFENSE,SANTA CLARA,750,500,250,37.38822,-122.05742
94043NTXXX1625P,1,SANMINA PLANT 4,SANTA CLARA,250,0,250,37.41672,-122.08337
94043RYTHN350EL,4,FAIRCHILD SEMICONDUCTOR,SANTA CLARA,1934,35,1899,37.3975,-122.0533
94043SMMTC644NA,1,SUMMIT CORP OF AMERICA,SANTA CLARA,500,250,250,37.40274,-122.0539
94043SPCTR1250W,3,SPECTRA-PHYSICS LASER INC,SANTA CLARA,48590,12275,36315,37.4101,-122.08215
94043TCHNT630NA,1,TECHNITRON INC,SANTA CLARA,250,0,250,37.40185,-122.05421
94063MPXCR401BR,2,AMPEX CORP,SAN MATEO,4016,3516,500,37.48515,-122.202311
94063PRSSR50CHE,1,UNIVAR USA INC,SAN MATEO,250,0,250,37.50396,-122.210381
94063RYCHMOAKSI,2,TYCO ELECTRONICS CORP WIRE & CABLE DIV,SAN MATEO,12206,0,12206,37.476899,-122.206467
94066PHSXX1229M,3,PHASE II,SAN MATEO,750,750,0,37.63976,-122.41242
94070KLLYM1015C,6,KELLY-MOORE PAINT CO INC,SAN MATEO,3250,1500,1750,37.50435,-122.25323
94070LTTNL960IN,3,L-3 COMMUNICATIONS ELECTRON DEVICES DIV,SAN MATEO,36507,22480,14027,37.50572,-122.25022
94070MCDVS301IN,8,COMMUNICATIONS & POWER INDUSTRIES INC EIMAC DIVISON,SAN MATEO,171920,9370,162550,37.51415,-122.26055
94070SPNCR952BR,5,REICHHOLD CHEMICALS INC,SAN MATEO,2250,1000,1250,37.50661,-122.25308
94070THVLS920SO,1,VALSPAR CORP,SAN MATEO,8646,8646,0,37.49941,-122.24506
94080LTHTY333PT,1,LITHOTYPE CO,SAN MATEO,24000,10000,14000,37.653552,-122.379066
94080THBRN450EG,5,ICI PAINTS,SAN MATEO,16531,15150,1381,37.650923,-122.382979
94083DJSMP111SO,5,SIMPSON COATINGS GROUP INC,SAN MATEO,4841,3341,1500,37.64974,-122.41434
94086DTGNR433NM,1,DATA GENERAL CORP SUNNYVALE DIV,SANTA CLARA,250,0,250,37.38759,-122.03105
94086DVNCD1165E,5,ADVANCED MICRO DEVICES INC,SANTA CLARA,7050,1750,5300,37.3816,-121.9968
94086HWLTT974EA,2,APPLIED MATERIALS INC-ARQUES CAMPUS,SANTA CLARA,12733,250,12483,37.38085,-122.00544
94086KTCHM1170S,3,KTI CHEMICALS INC,SANTA CLARA,750,0,750,37.37154,-121.99832
94086MCRMS695VA,2,PHOTRONICS INC,SANTA CLARA,1000,1000,0,37.39463,-122.03168
94086MDHLC1250E,2,AMDAHL CORP,SANTA CLARA,78913,67986,10927,37.38045,-121.98929
94086PRTNG183CO,4,PROTO ENGINEERING CORP,SANTA CLARA,40,40,0,37.376,-122.00847
94086RGSYS310NO,1,ARGOSYSTEMS INC,SANTA CLARA,14500,1500,13000,37.38793,-122.04311
94086SGNTC811EA,12,PHILIPS SEMICONDUCTORS,SANTA CLARA,40199,4500,35699,37.38094,-122.01095
94086SHDDS1484K,1,VAN DEN BERGH FOODS CO,SANTA CLARA,1250,1250,0,37.37408,-121.98324
94086XDXCR305SO,5,SKC AMERICA INC,SANTA CLARA,296710,209310,87400,37.38573,-122.03566
94086XRCRP750PA,4,EXAR CORP,SANTA CLARA,1676,0,1676,37.39527,-122.03445
94086ZYMSC477NM,3,ZYMOS CORP,SANTA CLARA,16292,16247,45,37.372237,-122.036041
94087FRDMT620ET,1,FOUR-D METAL FINISHING INC,SANTA CLARA,250,250,0,37.38328,-122.01699
94088DVNCD901TH,4,ADVANCED MICRO DEVICES INC 901 FACILITY,SANTA CLARA,2000,1000,1000,37.3825,-122.0086
94088DVNCD915DE,6,SPANSION LLC,SANTA CLARA,3000,1500,1500,37.3868,-122.0066
94088LTTNP525AL,1,LITTON SYSTEMS INC APPLIED TECHNOLOGY DIV,SANTA CLARA,44944,44944,0,37.280335,-121.804164
94088MHWKL932KI,3,NCH CORP MOHAWK LABS DIV,SANTA CLARA,6250,2800,3450,37.37423,-122.00887
94088WSTNG401EH,2,NORTHROP GRUMMAN SYSTEMS CORP,SANTA CLARA,78300,68000,10300,37.3787,-122.0225
94089KLTRN1380B,2,CONTACT INTERNATIONAL CORPORATION,SANTA CLARA,750,500,250,37.41599,-122.0238
94089LCKHD1111L,8,LOCKHEED MARTIN SPACE SYSTEMS CO,SANTA CLARA,665200,165450,499750,37.4166,-122.03599
94089RMSTR1271A,1,ARMSTRONG TECHNOLOGY INC,SANTA CLARA,19200,8500,10700,37.40731,-121.99379
94103THMCG1201B,1,MCGUIRE FURNITURE CO,SAN FRANCISCO,5043,0,5043,37.77034,-122.40974
94107THGLD10001,8,GLIDDEN CO,SAN FRANCISCO,4750,2750,2000,37.76643,-122.39688
94107WLLMS534FO,1,WILLIAMS LITHOGRAPH CO,SAN FRANCISCO,14000,14000,0,37.77903,-122.39741
94110BSTFD1890B,2,BEST FOODS,SAN FRANCISCO,500,500,0,37.76329,-122.41029
94124CLRVM221BA,2,CLERVI MARBLE CO,SAN FRANCISCO,2250,2000,250,37.74476,-122.40425
94124LHMBR2217R,3,ALHAMBRA DRINKING WATER CORP,SAN FRANCISCO,750,750,0,37.73836,-122.40196
94134SCHLG2401B,1,SCHLAGE LOCK CO,SAN FRANCISCO,1165,1165,0,37.71114,-122.4036
94303CRYST1060E,1,GOOCH & HOUSEGO (PALO ALTO) LLC,SANTA CLARA,7405,7405,0,37.43189,-122.10826
94303DVLLY844EA,1,ADVALLOY INC,SAN MATEO,12508,12508,0,37.42197,-122.1033
94303FRDRS3825F,2,SPACE SYSTEMS/LORAL LLC B4,SANTA CLARA,18700,5900,12800,37.42779,-122.10427
94303LZCRP2575H,1,ALZA CORP,SANTA CLARA,9550,250,9300,37.418347,-122.149116
