LOC	X	Y
1	488076.5	4604775
2	484700.7	4601827
3	484282.0	4601581
4	484164.3	4601425
5	484903.3	4599948
6	485286.0	4600092
7	485126.0	4600703
8	483986.0	4600852
9	483392.0	4601322
10	483454.0	4601142
11	483479.0	4601325
12	483614.0	4601283
13	483342.7	4601334
14	483529.2	4600810
15	483559.0	4600819
16	482971.7	4602427
17	482816.7	4602599
19	483673.0	4601122
20	483486.0	4601072
22	483246.2	4602546
24	482983.3	4602562
26	483349.0	4602502
27	483534.0	4601546
28	483509.4	4601475
29	485077.0	4599968
30	483434.0	4601138
31	483662.3	4601293
32	483439.0	4602060
33	483473.0	4601071
