Meadow,id,DominantVegetation,veg,BulkDensity,SoilMoisture,NDVI
Loney,L1,JUNNEV,JUN,1.836,0.505,0.804
Loney,L2,CARNEB,CAR,0.916,0.711,0.849
Loney,L3,upland,UPL,3.078,0.296,0.838
Loney,L4,JUNBAL,JUN,3.895,0.239,0.756
Loney,L5,JUNBAL,JUN,1.633,0.508,0.865
Loney,L6,grass,GRA,2.591,0.366,0.84
Knuthson,Q1,CARPEL,CAR,0.31,0.433,0.833
Knuthson,Q2,grass,GRA,0.867,0.183,0.692
Knuthson,Q3,JUNNEV,JUN,0.942,0.114,0.665
Knuthson,Q4,JUNNEV,JUN,0.805,0.327,0.729
Knuthson,Q5,upland,UPL,1.216,0.046,0.212
Knuthson,Q6,CARNEB,CAR,0.849,0.348,0.759
Knuthson,A1,CARNEB,CAR,0.497,NA,NA
Knuthson,A2,JUNNEV,JUN,0.712,NA,NA
Knuthson,A3,grass,GRA,1.218,NA,NA
Knuthson,A4,CARNEB,CAR,0.713,NA,NA
Knuthson,A5,CARNEB,CAR,0.44,NA,NA
Knuthson,A6,CARUTR,CAR,0.949,NA,NA
Knuthson,A7,JUNNEV,JUN,0.751,NA,NA
Knuthson,A8,CARUTR,CAR,0.36,NA,NA
Dry Creek,DQ1,upland,UPL,1.154,0.089,0.441
Dry Creek,DQ2,upland,UPL,0.811,0.135,0.563
Dry Creek,DQ3,JUNBAL,JUN,0.546,0.204,0.577
Dry Creek,DQ4,JUNBAL,JUN,1.05,0.104,0.508
Dry Creek,DQ5,grass,GRA,0.874,0.127,0.429
Dry Creek,DQ6,grass,GRA,0.7,0.104,0.387
Dry Creek,DQ7,JUNBAL,JUN,0.914,0.099,0.451
Dry Creek,DQ8,upland,UPL,1.264,0.051,0.526
Dry Creek,DQ9,upland,UPL,1.008,0.095,0.487
