DistNtoS,elevation,vegetation,geometry,phenology,NDVI
0,1510.439,Artemisia,"c(718649.456, 4397466.714)",growing,0.32550180435180665
0,1510.439,Artemisia,"c(718649.456, 4397466.714)",senescent,0.14018284082412721
16.7,1510.271,mixed graminoid,"c(718649.4309, 4397450.077)",growing,0.6270567440986633
16.7,1510.271,mixed graminoid,"c(718649.4309, 4397450.077)",senescent,0.2586939400434494
28.6,1510.039,mixed graminoid,"c(718649.413, 4397438.222)",growing,0.6858371925354004
28.6,1510.039,mixed graminoid,"c(718649.413, 4397438.222)",senescent,0.3285068273544311
30.5,1509.995,mixed graminoid,"c(718649.4101, 4397436.33)",growing,0.6675353360176085
30.5,1509.995,mixed graminoid,"c(718649.4101, 4397436.33)",senescent,0.28165496468544005
31.1,1510.087,mixed graminoid,"c(718649.4092, 4397435.732)",growing,0.6551532435417176
31.1,1510.087,mixed graminoid,"c(718649.4092, 4397435.732)",senescent,0.2657993561029434
33.4,1510.172,mixed graminoid,"c(718649.4058, 4397433.441)",growing,0.6169059062004087
33.4,1510.172,mixed graminoid,"c(718649.4058, 4397433.441)",senescent,0.27440722405910495
35.6,1509.98,mixed graminoid,"c(718649.4025, 4397431.249)",growing,0.6233222174644472
35.6,1509.98,mixed graminoid,"c(718649.4025, 4397431.249)",senescent,0.27530544757843023
37,1510.258,mixed graminoid,"c(718649.4004, 4397429.854)",growing,0.5889796090126037
37,1510.258,mixed graminoid,"c(718649.4004, 4397429.854)",senescent,0.24178804337978366
74,1510.283,mixed graminoid,"c(718649.3448, 4397392.994)",growing,0.6405024337768556
74,1510.283,mixed graminoid,"c(718649.3448, 4397392.994)",senescent,0.32459302186965944
101,1510.319,mixed graminoid,"c(718649.3042, 4397366.097)",growing,0.5580210506916045
101,1510.319,mixed graminoid,"c(718649.3042, 4397366.097)",senescent,0.312451068162918
125.6,1510.625,Artemisia,"c(718649.2672, 4397341.59)",growing,0.39086053609848026
125.6,1510.625,Artemisia,"c(718649.2672, 4397341.59)",senescent,0.1629423087835312
137,1510.354,mixed graminoid,"c(718649.25, 4397330.233)",growing,0.5831705331802368
137,1510.354,mixed graminoid,"c(718649.25, 4397330.233)",senescent,0.2717183214426041
149.2,1510.12,Carex,"c(718649.2317, 4397318.079)",growing,0.7360984563827516
149.2,1510.12,Carex,"c(718649.2317, 4397318.079)",senescent,0.3924827253818512
154.3,1510.185,Carex,"c(718649.224, 4397312.999)",growing,0.7435510993003847
154.3,1510.185,Carex,"c(718649.224, 4397312.999)",senescent,0.4236291325092316
175,1510.668,mixed graminoid,"c(718649.1929, 4397292.377)",growing,0.4554397761821746
175,1510.668,mixed graminoid,"c(718649.1929, 4397292.377)",senescent,0.20398499190807343
194.7,1510.535,mixed graminoid,"c(718649.1633, 4397272.752)",growing,0.5123808240890503
194.7,1510.535,mixed graminoid,"c(718649.1633, 4397272.752)",senescent,0.23725722491741183
197.1,1510.335,mixed graminoid,"c(718649.1597, 4397270.361)",growing,0.48941590070724483
197.1,1510.335,mixed graminoid,"c(718649.1597, 4397270.361)",senescent,0.19663607835769648
200.59,1510.569,mixed graminoid,"c(718649.1544, 4397266.884)",growing,0.5334557044506072
200.59,1510.569,mixed graminoid,"c(718649.1544, 4397266.884)",senescent,0.27495350182056427
259.2,1510.599,mixed graminoid,"c(718649.0663, 4397208.496)",growing,0.5051950907707213
259.2,1510.599,mixed graminoid,"c(718649.0663, 4397208.496)",senescent,0.19271648824214935
