site_no,datetime,Q,waterTmax,waterTmin,EC
10343500,1970-01-01,7.00,1.7,1.1,NA
10343500,1970-01-02,6.30,1.7,1.1,NA
10343500,1970-01-03,6.10,1.7,1.1,NA
10343500,1970-01-04,6.00,1.7,1.1,NA
10343500,1970-01-05,5.70,1.7,1.1,NA
10343500,1970-01-06,5.40,2.2,1.1,NA
10343500,1970-01-07,5.50,2.8,1.7,NA
10343500,1970-01-08,6.30,NA,NA,NA
10343500,1970-01-09,14.0,NA,NA,NA
10343500,1970-01-10,14.0,NA,NA,NA
10343500,1970-01-11,8.90,NA,NA,NA
10343500,1970-01-12,8.30,NA,NA,NA
10343500,1970-01-13,7.90,NA,NA,NA
10343500,1970-01-14,15.0,NA,NA,NA
10343500,1970-01-15,11.0,3.3,1.7,NA
10343500,1970-01-16,64.0,2.2,1.7,NA
10343500,1970-01-17,36.0,2.8,2.2,NA
10343500,1970-01-18,24.0,3.3,2.2,NA
10343500,1970-01-19,26.0,2.8,2.2,NA
10343500,1970-01-20,31.0,2.8,2.2,NA
10343500,1970-01-21,146,1.7,1.1,NA
10343500,1970-01-22,153,NA,NA,NA
10343500,1970-01-23,99.0,NA,NA,NA
10343500,1970-01-24,86.0,NA,NA,NA
10343500,1970-01-25,55.0,NA,NA,NA
10343500,1970-01-26,43.0,3.3,1.1,NA
10343500,1970-01-27,50.0,2.8,1.1,NA
10343500,1970-01-28,30.0,1.7,1.1,NA
10343500,1970-01-29,26.0,2.8,1.7,NA
10343500,1970-01-30,27.0,NA,NA,NA
10343500,1970-01-31,25.0,NA,NA,NA
10343500,1970-02-01,23.0,NA,NA,NA
10343500,1970-02-02,21.0,4.4,1.7,NA
10343500,1970-02-03,20.0,4.4,2.2,NA
10343500,1970-02-04,20.0,4.4,2.2,NA
10343500,1970-02-05,18.0,5.0,2.2,NA
10343500,1970-02-06,17.0,NA,NA,NA
10343500,1970-02-07,17.0,NA,NA,NA
10343500,1970-02-08,16.0,NA,NA,NA
10343500,1970-02-09,16.0,NA,NA,NA
10343500,1970-02-10,15.0,5.0,2.8,NA
10343500,1970-02-11,15.0,5.0,2.2,NA
10343500,1970-02-12,15.0,NA,NA,NA
10343500,1970-02-13,14.0,NA,NA,NA
10343500,1970-02-14,14.0,NA,NA,NA
10343500,1970-02-15,13.0,NA,NA,NA
10343500,1970-02-16,11.0,2.8,1.7,NA
10343500,1970-02-17,13.0,2.2,1.7,NA
10343500,1970-02-18,12.0,2.2,1.7,NA
10343500,1970-02-19,11.0,2.8,1.7,NA
10343500,1970-02-20,11.0,NA,NA,NA
10343500,1970-02-21,11.0,NA,NA,NA
10343500,1970-02-22,11.0,NA,NA,NA
10343500,1970-02-23,11.0,4.4,1.7,NA
10343500,1970-02-24,10.0,5.0,2.2,NA
10343500,1970-02-25,10.0,5.0,1.7,NA
10343500,1970-02-26,10.0,NA,NA,NA
10343500,1970-02-27,11.0,NA,NA,NA
10343500,1970-02-28,11.0,NA,NA,NA
10343500,1970-03-01,10.0,NA,NA,NA
10343500,1970-03-02,11.0,3.3,2.2,NA
10343500,1970-03-03,10.0,2.8,2.2,NA
10343500,1970-03-04,9.90,NA,NA,NA
10343500,1970-03-05,9.60,NA,NA,NA
10343500,1970-03-06,9.80,NA,NA,NA
10343500,1970-03-07,9.90,NA,NA,NA
10343500,1970-03-08,9.80,NA,NA,NA
10343500,1970-03-09,9.20,5.0,2.2,NA
10343500,1970-03-10,9.10,4.4,1.7,NA
10343500,1970-03-11,8.90,6.7,3.3,NA
10343500,1970-03-12,9.70,6.7,2.8,NA
10343500,1970-03-13,12.0,NA,NA,NA
10343500,1970-03-14,17.0,NA,NA,NA
10343500,1970-03-15,15.0,NA,NA,NA
