STATION,STATION_NA
USC00043669,GROVELAND 2 CA US
USC00041497,CANYON DAM CA US
USC00044523,KERN RIVER PH 3 CA US
USC00042467,DONNER MEMORIAL ST PARK CA US
USC00041018,BOWMAN DAM CA US
USC00041130,BRUSH CREEK RANGER STATION CA US
USC00043551,GRANT GROVE CA US
USC00044881,LEE VINING CA US
USW00093210,OROVILLE MUNICIPAL AIRPORT CA US
USC00044890,LEMON COVE CA US
USC00041277,CALAVERAS BIG TREES CA US
USC00041159,BUCKS CREEK CA US
USC00043573,GRASS VALLEY NUMBER 2 CA US
USC00046960,PLACERVILLE CA US
USC00048917,THREE RIVER EDISON PH 1 CA US
USC00043463,GLENNVILLE CA US
USC00045400,MATHER CA US
USW00023225,BLUE CANYON AIRPORT CA US
USC00043369,GEM LAKE CA US
USC00045679,MINERAL CA US
USC00048702,SUSANVILLE 2 SW CA US
USC00041072,BRIDGEPORT CA US
USC00043491,GOLD RUN 2 SW CA US
USC00043134,FORESTHILL RANGER STATION CA US
USC00045311,MANZANITA LAKE CA US
USC00046521,OROVILLE CA US
USC00047195,QUINCY CA US
USC00049367,VISALIA CA US
USC00047085,PORTOLA CA US
USC00040449,BALCH POWER HOUSE CA US
USC00042500,DOWNIEVILLE CA US
USC00043710,HAIWEE CA US
USC00049390,VOLTA POWER HOUSE CA US
USC00041428,CAMP PARDEE CA US
USC00042756,ELLERY LAKE CA US
USC00049043,TRUCKEE RANGER STATION CA US
USW00023157,BISHOP AIRPORT CA US
USC00042402,DE SABLA CA US
USC00044705,LAKE SABRINA CA US
USC00040343,ASH MOUNTAIN CA US
USW00093230,SOUTH LAKE TAHOE AIRPORT CA US
USC00044957,LINDSAY CA US
USC00041697,CHERRY VALLEY DAM CA US
USC00040379,AUBERRY 2 NW CA US
USC00040383,AUBURN CA US
USC00046252,NORTH FORK RANGER STATION CA US
USC00046136,NEVADA CITY CA US
USC00047370,REPRESA CA US
USC00048218,SIERRAVILLE R S CA US
USC00041700,CHESTER CA US
USC00046174,NEW MELONES DAM HQ CA US
USC00041715,CHICO UNIVERSITY FARM CA US
USC00042920,EXCHEQUER DAM CA US
USC00040755,BIG CREEK PH 1 CA US
USC00048353,SONORA CA US
USC00049582,WEST POINT CA US
USC00048380,SO ENTRANCE YOSEMITE N.P. CA US
USC00043800,HARRY ENGLEBRIGHT DM CA US
USC00043939,HETCH HETCHY CA US
USC00048713,SUTTER HILL CDF CA US
USC00043261,FRIANT GOVERNMENT CAMP CA US
USC00043384,GEORGETOWN R S CA US
USC00046896,PINE FLAT DAM CA US
USC00044232,INDEPENDENCE CA US
USC00043038,FIDDLETOWN DEXTER RANCH CA US
USC00048606,STRAWBERRY VALLEY CA US
USW00053150,YOSEMITE VILLAGE 12 W CA US
USC00044484,KELSEY 1 N CA US
USC00046685,PARADISE CA US
USC00048758,TAHOE CITY CA US
USC00044278,INYOKERN CA US
USC00048406,SOUTH LAKE CA US
USC00049855,YOSEMITE PARK HEADQUARTERS CA US
USC00040819,BISHOP CRK INTAKE 2 CA US
USC00040931,BOCA CA US
USC00044176,HUNTINGTON LAKE CA US
USC00045026,LODGEPOLE CA US
USC00046597,PACIFIC HOUSE CA US
USC00045280,MAMMOTH LAKES RANGER STATION CA US
USC00041912,COLFAX CA US
USC00041916,COLGATE POWERHOUSE CA US
USC00040943,BODIE CALIFORNIA STATE HISTORIC PARK CA US
