STATION_NAME,COUNTY,ELEVATION,LATITUDE,LONGITUDE,PRECIPITATION,TEMPERATURE
"GROVELAND 2, CA US",Tuolumne,853.4,37.8444,-120.2258,176.02,6.1
"CANYON DAM, CA US",Plumas,1389.9,40.1705,-121.0886,164.08,1.4
"KERN RIVER PH 3, CA US",Kern,823.9,35.7831,-118.4389,67.06,8.9
"DONNER MEMORIAL ST PARK, CA US",Nevada,1809.6,39.3239,-120.2331,167.39,-0.9
"BOWMAN DAM, CA US",Nevada,1641.3,39.4539,-120.6556,276.61,2.9
"BRUSH CREEK RANGER STATION, CA US",Butte,1085.1,39.6949,-121.3452,296.16,NA
"GRANT GROVE, CA US",Tulare,2011.7,36.7394,-118.9631,186.18,1.7
"LEE VINING, CA US",Mono,2071.7,37.9567,-119.1194,71.88,0.4
"OROVILLE MUNICIPAL AIRPORT, CA US",Butte,57.9,39.49,-121.61833,137.67,10.3
"LEMON COVE, CA US",Tulare,156.4,36.3817,-119.0264,62.74,11.3
"CALAVERAS BIG TREES, CA US",Calaveras,1431,38.2769,-120.3113,254,2.7
"BUCKS CREEK, CA US",Plumas,576.4,39.9372,-121.3147,282.7,NA
"GRASS VALLEY NUMBER 2, CA US",Nevada,731.5,39.2041,-121.068,229.11,6.9
"PLACERVILLE, CA US",El Dorado,563.9,38.6955,-120.8244,170.69,9.2
"THREE RIVERS EDISON PH 1, CA US",Tulare,347.5,36.465,-118.8619,114.05,9.7
"GLENNVILLE, CA US",Kern,957.1,35.7269,-118.7006,95.25,6.5
"MATHER, CA US",Tuolumne,1374.6,37.885,-119.8561,152.4,NA
"BLUE CANYON AIRPORT, CA US",Placer,1608.1,39.2774,-120.7102,268.22,4.1
"GEM LAKE, CA US",Mono,2734.1,37.7519,-119.1402,81.53,NA
"MINERAL, CA US",Tehama,1485.9,40.3458,-121.6091,217.93,0.9
"SUSANVILLE 2 SW, CA US",Lassen,1283.8,40.4167,-120.6631,45.21,2.4
"BRIDGEPORT, CA US",Mono,1972.1,38.2575,-119.2286,41.4,-2.2
"GOLD RUN 2 SW, CA US",Placer,1011.9,39.165,-120.8566,224.28,NA
"FORESTHILL RANGER STATION, CA US",Placer,919,39.01,-120.8455,214.88,NA
"MANZANITA LAKE, CA US",Shasta,1752.6,40.54111,-121.57667,132.84,0.2
"OROVILLE, CA US",Butte,52.1,39.5177,-121.553,123.7,10.7
"QUINCY, CA US",Plumas,1042.4,39.9366,-120.9475,181.86,4
