desc,x,y,z,long,lat
co2_01,483060.5625,4602107,1882.481,-123.2031783,41.57046352
co2_02,483109.875,4601978,1843.842,-123.2025832,41.56930262
co2_03,483115.9688,4601869.5,1827.391,-123.2025071,41.56832546
co2_04,483199.2813,4601592,1767.344,-123.2015001,41.56582769
co2_05,483400.7813,4601521,1741.067,-123.1990814,41.56519238
co2_06,483494.7188,4601430,1733.635,-123.1979523,41.56437466
co2_07,483393.5938,4601442,1722.458,-123.1991655,41.56448066
co2_08,483390.75,4601312,1705.208,-123.199196,41.56330965
co2_09,483360.0682,4601256.782,1719.678493,-123.1995624,41.56281164
co2_10,483429.6554,4601212.271,1715.01522,-123.1987266,41.56241216
co2_11,483462.9063,4601153.5,1730.017,-123.1983262,41.56188349
