site,site #,tree,Date,month,rain_mm,rain_subcanopy,slope,aspect,runoff_L,surface_tension,runoff_rainfall_ratio
AB1,1,euc,2006-11-08,11/6/2006,29,30,31,227,6.7,32.79,0.223333333
AB1,1,euc,2006-11-12,11/6/2006,22,18,31,227,4.3,32.79,0.238888889
AB1,1,euc,2006-11-29,11/6/2006,85,68,31,227,16,32.79,0.235294118
AB1,1,euc,2006-12-12,12/6/2006,82,82,31,227,14.2,NA,0.173170732
AB1,1,euc,2006-12-28,12/6/2006,43,47,31,227,4.32532,72.75,0.092028085
AB1,1,euc,2007-01-29,1/7/2007,7,10,31,227,0,37.4,0
AB1,1,euc,2007-02-09,2/7/2007,56,43,31,227,0,NA,0
AB1,1,euc,2007-02-13,2/7/2007,63,44,31,227,1.40116,68.79,0.031844545
AB1,1,euc,2007-02-28,2/7/2007,NA,56,31,227,8.65064,NA,0.154475714
AB1,1,euc,2007-03-22,3/7/2007,NA,3,31,227,0.11,28.51,0.036666667
AB1,1,euc,2007-04-23,4/7/2007,NA,36,31,227,9.19892,28.51,0.255525556
AB1,1,euc,2007-05-05,5/7/2007,NA,28,31,227,7.43224,37.4,0.265437143
AB2,2,euc,2006-11-08,11/6/2006,24,23,25,106,7.72,32.79,0.335652174
AB2,2,euc,2006-11-12,11/6/2006,11,16,25,106,5.1,28.51,0.31875
AB2,2,euc,2006-11-29,11/6/2006,50,66,25,106,12,37.4,0.181818182
AB2,2,euc,2006-12-12,12/6/2006,99,79,25,106,NA,NA,NA
AB2,2,euc,2006-12-28,12/6/2006,49,38,25,106,2.34,72.75,0.061578947
AB2,2,euc,2007-01-29,1/7/2007,4,4,25,106,0.05,NA,0.0125
AB2,2,euc,2007-02-09,2/7/2007,37,40,25,106,3.3,NA,0.0825
AB2,2,euc,2007-02-13,2/7/2007,43,43,25,106,1.14,72.75,0.026511628
AB2,2,euc,2007-02-28,2/7/2007,57,43,25,106,2.1,NA,0.048837209
AB2,2,euc,2007-03-22,3/7/2007,1,1,25,106,0.27,32.79,0.27
AB2,2,euc,2007-04-23,4/7/2007,23,34,25,106,2.88,44.37,0.084705882
AB2,2,euc,2007-05-05,5/7/2007,11,21,25,106,3.3,28.51,0.157142857
KM1,3,euc,2006-11-08,11/6/2006,31,29,25,196,0.09,32.79,0.003103448
KM1,3,euc,2006-11-12,11/6/2006,19,8,25,196,0,56.41,0
KM1,3,euc,2006-11-29,11/6/2006,65,44,25,196,0,56.41,0
KM1,3,euc,2006-12-12,12/6/2006,NA,82,25,196,0,32.79,0
KM1,3,euc,2006-12-28,12/6/2006,NA,39,25,196,0,NA,0
KM1,3,euc,2007-01-29,1/7/2007,NA,7,25,196,0,44.37,0
KM1,3,euc,2007-02-09,2/7/2007,87,55,25,196,1.8,NA,0.032727273
KM1,3,euc,2007-02-13,2/7/2007,68,50,25,196,1.68,72.75,0.0336
KM1,3,euc,2007-02-28,2/7/2007,84,61,25,196,0.18,NA,0.00295082
KM1,3,euc,2007-03-30,3/7/2007,2,6,25,196,0,44.37,0
KM1,3,euc,2007-04-23,4/7/2007,NA,37,25,196,2.04,37.4,0.055135135
KM1,3,euc,2007-05-05,5/7/2007,28,21,25,196,1.32,44.37,0.062857143
PR1,4,euc,2006-11-14,11/6/2006,NA,NA,23,115,NA,32.79,NA
PR1,4,euc,2006-12-07,12/6/2006,NA,NA,23,115,NA,NA,NA
PR1,4,euc,2006-12-12,12/6/2006,70,94,23,115,6.8,32.79,0.072340426
PR1,4,euc,2006-12-28,12/6/2006,43,50,23,115,2.76,37.4,0.0552
PR1,4,euc,2007-01-29,1/7/2007,NA,5,23,115,0,72.75,0
PR1,4,euc,2007-02-09,2/7/2007,NA,22,23,115,1.2,NA,0.054545455
PR1,4,euc,2007-02-28,2/7/2007,NA,80,23,115,4.5,NA,0.05625
PR1,4,euc,2007-03-30,3/7/2007,NA,14,23,115,0.7,37.4,0.05
PR1,4,euc,2007-04-23,4/7/2007,NA,37,23,115,1.32,72.75,0.035675676
PR1,4,euc,2007-05-05,5/7/2007,NA,12,23,115,1.2,56.41,0.1
TP1,5,euc,2006-11-09,11/6/2006,20,16,9,296,0.2,37.4,0.0125
TP1,5,euc,2006-11-14,11/6/2006,21,15,9,296,0,NA,0
TP1,5,euc,2006-12-01,12/6/2006,17,12,9,296,0,32.79,0
TP1,5,euc,2006-12-14,12/6/2006,70,62,9,296,7.2,32.79,0.116129032
TP1,5,euc,2006-12-29,12/6/2006,43,36,9,296,3.5,37.4,0.097222222
TP1,5,euc,2007-01-30,1/7/2007,16,9,9,296,0.005,28.51,5.55556e-4
TP1,5,euc,2007-02-14,2/7/2007,99,74,9,296,3.9,72.75,0.052702703
TP1,5,euc,2007-03-02,3/7/2007,74,50,9,296,2.4,NA,0.048
TP1,5,euc,2007-03-28,3/7/2007,18,13,9,296,0.025,37.4,0.001923077
TP1,5,euc,2007-04-24,4/7/2007,32,25,9,296,0.4,37.4,0.016
TP1,5,euc,2007-05-07,5/7/2007,12,12,9,296,0.6,56.41,0.05
TP2,6,euc,2006-11-09,11/6/2006,16,18,10,197,0.59,37.4,0.032777778
TP2,6,euc,2006-11-14,11/6/2006,NA,17,10,197,0,NA,0
TP2,6,euc,2006-12-01,12/6/2006,NA,14,10,197,0.26,37.4,0.018571429
TP2,6,euc,2006-12-14,12/6/2006,71,62,10,197,2.7,32.79,0.043548387
TP2,6,euc,2006-12-29,12/6/2006,41,38,10,197,1.68,44.37,0.044210526
TP2,6,euc,2007-01-30,1/7/2007,8,13,10,197,0,28.51,0
TP2,6,euc,2007-02-14,2/7/2007,84,79,10,197,4.8,56.41,0.060759494
TP2,6,euc,2007-03-02,3/7/2007,53,56,10,197,2.88,NA,0.051428571
TP2,6,euc,2007-03-28,3/7/2007,10,17,10,197,0.85,32.79,0.05
TP2,6,euc,2007-04-24,4/7/2007,19,32,10,197,2.28,56.41,0.07125
TP2,6,euc,2007-05-07,5/7/2007,7,14,10,197,0.74,37.4,0.052857143
TP3,7,euc,2006-11-09,11/6/2006,15,18,18,215,0.38,28.51,0.021111111
TP3,7,euc,2006-11-14,11/6/2006,18,16,18,215,0,32.79,0
TP3,7,euc,2006-12-01,12/6/2006,15,13,18,215,0,32.79,0
TP3,7,euc,2006-12-14,12/6/2006,57,50,18,215,1.9,NA,0.038
TP3,7,euc,2006-12-29,12/6/2006,37,30,18,215,0.875,56.41,0.029166667
TP3,7,euc,2007-01-30,1/7/2007,17,17,18,215,0,44.37,0
TP3,7,euc,2007-02-14,2/7/2007,94,72,18,215,2.4,56.41,0.033333333
TP3,7,euc,2007-03-02,3/7/2007,66,43,18,215,0.8,NA,0.018604651
TP3,7,euc,2007-03-28,3/7/2007,17,14,18,215,0.315,44.37,0.0225
TP3,7,euc,2007-04-24,4/7/2007,14,24,18,215,1.7,68.79,0.070833333
TP3,7,euc,2007-05-07,5/7/2007,3,12,18,215,0.6,37.4,0.05
TP4,8,euc,2006-11-09,11/6/2006,23,26,12,175,3.81,28.51,0.146538462
TP4,8,euc,2006-11-14,11/6/2006,17,21,12,175,1,32.79,0.047619048
TP4,8,euc,2006-12-01,12/6/2006,10,11,12,175,0,32.79,0
TP4,8,euc,2006-12-14,12/6/2006,68,76,12,175,9.24,72.75,0.121578947
TP4,8,euc,2006-12-29,12/6/2006,32,40,12,175,4.14,NA,0.1035
TP4,8,euc,2007-01-30,1/7/2007,17,39,12,175,0,NA,0
TP4,8,euc,2007-02-14,2/7/2007,90,96,12,175,9.12,37.4,0.095
